weekday,gg_year,gg_month,gg_day,ncc_year,ncc_month,ncc_day,celestial_event,ncc_fixed_event,ncc_variable_event,ncc_season
Tuesday,2020,10,27,1737,2,30,Undefined,The Consecration of the Church of St. Mark the Evangelist and the Appearance of His Holy Head.,Undefined,The Seeds and the Herbs
Wednesday,2020,10,28,1737,3,1,Undefined,Undefined,Undefined,The Seeds and the Herbs
Thursday,2020,10,29,1737,3,2,Undefined,Undefined,Undefined,The Seeds and the Herbs
Friday,2020,10,30,1737,3,3,Undefined,Undefined,Undefined,The Seeds and the Herbs
Saturday,2020,10,31,1737,3,4,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,11,1,1737,3,5,Undefined,Undefined,Undefined,The Seeds and the Herbs
Monday,2020,11,2,1737,3,6,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,11,3,1737,3,7,Undefined,The Consecration of the Church of St. George of Cappadocia,Undefined,The Seeds and the Herbs
Wednesday,2020,11,4,1737,3,8,Undefined,The Feast of the Four Incoporeal Living Creatures,Undefined,The Seeds and the Herbs
Thursday,2020,11,5,1737,3,9,Undefined,Undefined,Undefined,The Seeds and the Herbs
Friday,2020,11,6,1737,3,10,Undefined,Undefined,Undefined,The Seeds and the Herbs
Saturday,2020,11,7,1737,3,11,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,11,8,1737,3,12,Undefined,The Feast of Archangel Michael,Undefined,The Seeds and the Herbs
Monday,2020,11,9,1737,3,13,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,11,10,1737,3,14,Undefined,Undefined,Undefined,The Seeds and the Herbs
Wednesday,2020,11,11,1737,3,15,Undefined,Undefined,Undefined,The Seeds and the Herbs
Thursday,2020,11,12,1737,3,16,Undefined,First Day of the Nativity Fast,Undefined,The Seeds and the Herbs
Friday,2020,11,13,1737,3,17,Undefined,Undefined,Undefined,The Seeds and the Herbs
Saturday,2020,11,14,1737,3,18,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,11,15,1737,3,19,Undefined,Undefined,Undefined,The Seeds and the Herbs
Monday,2020,11,16,1737,3,20,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,11,17,1737,3,21,Undefined,Monthly Commemoration of the Theotokos,Undefined,The Seeds and the Herbs
Wednesday,2020,11,18,1737,3,22,Undefined,Undefined,Undefined,The Seeds and the Herbs
Thursday,2020,11,19,1737,3,23,Undefined,Undefined,Undefined,The Seeds and the Herbs
Friday,2020,11,20,1737,3,24,Undefined,The Feast of the Twenty Four Presbyters,Undefined,The Seeds and the Herbs
Saturday,2020,11,21,1737,3,25,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,11,22,1737,3,26,Undefined,Undefined,Undefined,The Seeds and the Herbs
Monday,2020,11,23,1737,3,27,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,11,24,1737,3,28,Undefined,Undefined,Undefined,The Seeds and the Herbs
Wednesday,2020,11,25,1737,3,29,Undefined,"Monthly Commemoration of the Annunciation, Nativity, and Resurrection",Undefined,The Seeds and the Herbs
Thursday,2020,11,26,1737,3,30,Undefined,Undefined,Undefined,The Seeds and the Herbs
Friday,2020,11,27,1737,4,1,Undefined,Undefined,Undefined,The Seeds and the Herbs
Saturday,2020,11,28,1737,4,2,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,11,29,1737,4,3,Undefined,Presentation of the Theotokos in the Temple,Undefined,The Seeds and the Herbs
Monday,2020,11,30,1737,4,4,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,12,1,1737,4,5,Undefined,Undefined,Undefined,The Seeds and the Herbs
Wednesday,2020,12,2,1737,4,6,Undefined,Undefined,Undefined,The Seeds and the Herbs
Thursday,2020,12,3,1737,4,7,Undefined,Undefined,Undefined,The Seeds and the Herbs
Friday,2020,12,4,1737,4,8,Undefined,Undefined,Undefined,The Seeds and the Herbs
Saturday,2020,12,5,1737,4,9,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,12,6,1737,4,10,Undefined,Undefined,Undefined,The Seeds and the Herbs
Monday,2020,12,7,1737,4,11,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,12,8,1737,4,12,Undefined,Undefined,Undefined,The Seeds and the Herbs
Wednesday,2020,12,9,1737,4,13,Undefined,The Feast of Archangel Raphael,Undefined,The Seeds and the Herbs
Thursday,2020,12,10,1737,4,14,Undefined,Undefined,Undefined,The Seeds and the Herbs
Friday,2020,12,11,1737,4,15,Undefined,Undefined,Undefined,The Seeds and the Herbs
Saturday,2020,12,12,1737,4,16,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,12,13,1737,4,17,Undefined,Undefined,Undefined,The Seeds and the Herbs
Monday,2020,12,14,1737,4,18,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,12,15,1737,4,19,Undefined,Undefined,Undefined,The Seeds and the Herbs
Wednesday,2020,12,16,1737,4,20,Undefined,Undefined,Undefined,The Seeds and the Herbs
Thursday,2020,12,17,1737,4,21,Undefined,Monthly Commemoration of the Theotokos,Undefined,The Seeds and the Herbs
Friday,2020,12,18,1737,4,22,Undefined,The Feast of Archangel Gabriel,Undefined,The Seeds and the Herbs
Saturday,2020,12,19,1737,4,23,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,12,20,1737,4,24,Undefined,Undefined,Undefined,The Seeds and the Herbs
Monday,2020,12,21,1737,4,25,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,12,22,1737,4,26,Undefined,Undefined,Undefined,The Seeds and the Herbs
Wednesday,2020,12,23,1737,4,27,Undefined,Undefined,Undefined,The Seeds and the Herbs
Thursday,2020,12,24,1737,4,28,Undefined,Undefined,Paramoun of Nativity,The Seeds and the Herbs
Friday,2020,12,25,1737,4,29,Undefined,The Feast of the Nativity,Undefined,The Seeds and the Herbs
Saturday,2020,12,26,1737,4,30,Undefined,Undefined,Undefined,The Seeds and the Herbs
Sunday,2020,12,27,1737,5,1,Undefined,Undefined,Undefined,The Seeds and the Herbs
Monday,2020,12,28,1737,5,2,Undefined,Undefined,Undefined,The Seeds and the Herbs
Tuesday,2020,12,29,1737,5,3,Undefined,"The Feast of the 144,000 Slain Children of Bethlehem",Undefined,The Seeds and the Herbs
Wednesday,2020,12,30,1737,5,4,Undefined,Undefined,Undefined,The Seeds and the Herbs
Thursday,2020,12,31,1737,5,5,Undefined,Undefined,Undefined,The Seeds and the Herbs
